# Src-x Src-y Src-Int Rec-x Rec-y Rec-Int
0.0000 0.2000 9.0334 0.7073 1.0000 1.8082
0.0000 0.2000 5.7880 0.7317 1.0000 1.1143
0.0000 0.2000 9.4328 0.7561 1.0000 1.7544
0.0000 0.2000 1.8590 0.7805 1.0000 0.3374
0.0000 0.2000 6.4806 0.8049 1.0000 1.1477
0.0000 0.2000 1.6561 0.8293 1.0000 0.2881
0.0000 0.2000 1.8233 0.8537 1.0000 0.3118
0.0000 0.2000 9.0494 0.8780 1.0000 1.5289
0.0000 0.2000 5.4017 0.9024 1.0000 0.9076
0.0000 0.2000 2.6980 0.9268 1.0000 0.4450
0.0000 0.2000 9.4295 0.9512 1.0000 1.5238
0.0000 0.2000 3.5675 0.9756 1.0000 0.5658
0.0000 0.2000 2.1568 0.0000 1.0000 0.9073
0.0000 0.2000 2.1294 1.0000 0.0000 0.6552
0.0000 0.2000 7.0328 1.0000 1.0000 1.0875
0.0000 0.4000 6.2012 1.0000 0.0244 1.5041
0.0000 0.4000 4.0878 1.0000 0.0488 1.0280
0.0000 0.4000 8.1874 1.0000 0.0732 2.0346
0.0000 0.4000 5.4619 1.0000 0.0976 1.3564
0.0000 0.4000 1.0942 1.0000 0.1220 0.2632
0.0000 0.4000 9.8878 1.0000 0.1463 2.2841
0.0000 0.4000 7.2579 1.0000 0.1707 1.6197
0.0000 0.4000 3.7966 1.0000 0.1951 0.8074
0.0000 0.4000 1.5450 1.0000 0.2195 0.3160
0.0000 0.4000 2.8790 1.0000 0.2439 0.6009
0.0000 0.4000 7.4157 1.0000 0.2683 1.5778
0.0000 0.4000 1.1093 1.0000 0.2927 0.2360
0.0000 0.4000 9.4082 1.0000 0.3171 1.9511
0.0000 0.4000 2.2934 1.0000 0.3415 0.4574
0.0000 0.4000 6.1042 1.0000 0.3659 1.2271
0.0000 0.4000 8.6676 1.0000 0.3902 2.1455
0.0000 0.4000 7.1380 1.0000 0.4146 1.8483
0.0000 0.4000 7.8490 1.0000 0.4390 2.0167
0.0000 0.4000 1.8139 1.0000 0.4634 0.4628
0.0000 0.4000 5.8102 1.0000 0.4878 1.4335
0.0000 0.4000 6.6546 1.0000 0.5122 1.6125
0.0000 0.4000 1.7497 1.0000 0.5366 0.4219
0.0000 0.4000 7.3193 1.0000 0.5610 1.7955
0.0000 0.4000 1.1248 1.0000 0.5854 0.2742
0.0000 0.4000 1.0386 1.0000 0.6098 0.2445
0.0000 0.4000 8.3428 1.0000 0.6341 1.9275
0.0000 0.4000 1.8201 1.0000 0.6585 0.4044
0.0000 0.4000 4.5980 1.0000 0.6829 0.9867
0.0000 0.4000 5.1868 1.0000 0.7073 1.0895
0.0000 0.4000 7.3498 1.0000 0.7317 1.5231
0.0000 0.4000 3.1834 1.0000 0.7561 0.6515
0.0000 0.4000 8.2331 1.0000 0.7805 1.6643
0.0000 0.4000 7.4953 1.0000 0.8049 1.4963
0.0000 0.4000 5.8263 1.0000 0.8293 1.1484
0.0000 0.4000 3.6908 1.0000 0.8537 0.7186
0.0000 0.4000 4.7341 1.0000 0.8780 0.9010
0.0000 0.4000 5.9863 1.0000 0.9024 1.1201
0.0000 0.4000 6.0769 1.0000 0.9268 1.1224
0.0000 0.4000 1.1209 1.0000 0.9512 0.2024
0.0000 0.4000 9.2260 1.0000 0.9756 1.6285
0.0000 0.4000 3.5306 0.0244 1.0000 1.7754
0.0000 0.4000 6.9201 0.0488 1.0000 3.3906
0.0000 0.4000 7.3487 0.0732 1.0000 3.5002
0.0000 0.4000 4.1649 0.0976 1.0000 1.9269
0.0000 0.4000 8.2004 0.1220 1.0000 3.6989
0.0000 0.4000 9.6528 0.1463 1.0000 4.2463
0.0000 0.4000 5.2340 0.1707 1.0000 2.2484
0.0000 0.4000 3.0968 0.1951 1.0000 1.2977
0.0000 0.4000 9.1109 0.2195 1.0000 3.7237
0.0000 0.4000 5.0070 0.2439 1.0000 1.9986
0.0000 0.4000 2.9032 0.2683 1.0000 1.1289
0.0000 0.4000 6.9556 0.2927 1.0000 2.6355
0.0000 0.4000 9.7196 0.3171 1.0000 3.5931
0.0000 0.4000 1.1280 0.3415 1.0000 0.4074
0.0000 0.4000 7.9214 0.3659 1.0000 2.7898
0.0000 0.4000 3.6369 0.3902 1.0000 1.2482
0.0000 0.4000 8.4165 0.4146 1.0000 2.8244
